18732	
	(-0.1901375142,-0.355077429)	(-0.2155915716,-0.3422428461)	(-0.2401892436,-0.3277163249)	(-0.2630917623,-0.3105592878)	(-0.2841360271,-0.2910799136)
	(-0.3036402878,-0.2697823547)	(-0.3211769578,-0.2465876663)	(-0.3366250106,-0.2216219448)	(-0.3502399452,-0.1952449486)	(-0.3613973113,-0.1673796379)
	(-0.370336541,-0.1383124452)	(-0.3771046859,-0.1082298218)	(-0.3811705522,-0.07729397346)	(-0.3828592435,-0.04567316365)	(-0.3824250921,-0.01354489257)
	(-0.3791661142,0.01883067935)	(-0.373583411,0.05130367242)	(-0.3653577155,0.08359605292)	(-0.354980497,0.1157192485)	(-0.3425907556,0.1475330997)
	(-0.3273015002,0.178363138)	(-0.3105238331,0.20883313)	(-0.2911283054,0.2379311011)	(-0.2701258354,0.2661998708)	(-0.2468786638,0.2928533448)
	(-0.2223286843,0.3185580539)	(-0.1959276394,0.3423927895)	(-0.1678224803,0.3643066812)	(-0.1388918253,0.3854684395)	(-0.1084776074,0.4040245424)
	(-0.0770348248,0.4208831285)	(-0.04469497604,0.4352678418)	(-0.01182855065,0.4485614073)	(0.0217602412,0.4591997679)	(0.05568521116,0.4676003431)
	(0.08989414145,0.4741607112)	(0.1241833831,0.4787073606)	(0.1583921643,0.4809896927)	(0.1925513802,0.481374714)	(0.2261235178,0.4796346537)
	(0.2592902784,0.4756052103)	(0.2918485291,0.4699292518)	(0.3238406062,0.4625003368)	(0.3547336438,0.4529021437)	(0.3847896105,0.4418118867)
	(0.4141501017,0.4293858495)	(0.4419088839,0.4150496048)	(0.4686671597,0.399379678)	(0.4943215875,0.3826065109)	(0.5185352104,0.3644605634)
	(0.5414099692,0.3453441916)	(0.5627365597,0.3251879695)	(0.5831977117,0.3044636567)	(0.6021078351,0.2830514082)	(0.6195151547,0.2609764483)
	(0.6350211057,0.2384040295)	(0.6499841097,0.2158085636)	(0.6632372799,0.192928864)	(0.6753247286,0.1701008563)	(0.6859862843,0.1473439009)
	(0.6952789978,0.1248013872)	(0.7039453277,0.1026661473)	(0.7113557804,0.080996113)	(0.7177325777,0.0598987506)	(0.7232493406,0.03950866706)
